Tree Index,Height,Mixer Count,Overlaps (W.O.),Overlaps (W.),Overlap Red. %,Flushing (W.O.),Flushing (W.),Flushing Red. %,Loading (W.O.),Loading (W.),Loading Red. %,Total Ops (W.O.),Total Ops (W.),Total Red. %
0,2,3,28,3,89.29,28,3,89.29,31,6,80.65,59,9,84.75
1,2,3,27,4,85.19,27,4,85.19,30,7,76.67,57,11,80.70
2,2,4,64,7,89.06,64,7,89.06,69,12,82.61,133,19,85.71
3,2,3,31,1,96.77,31,1,96.77,38,8,78.95,69,9,86.96
4,2,3,32,5,84.38,32,5,84.38,33,6,81.82,65,11,83.08
5,2,3,34,2,94.12,34,2,94.12,39,7,82.05,73,9,87.67
6,2,2,16,1,93.75,16,1,93.75,25,10,60.00,41,11,73.17
7,2,3,24,3,87.50,24,3,87.50,29,8,72.41,53,11,79.25
8,2,2,21,3,85.71,21,3,85.71,25,7,72.00,46,10,78.26
9,2,2,18,0,100.00,18,0,100.00,27,8,70.37,45,8,82.22
10,2,3,55,4,92.73,55,4,92.73,59,8,86.44,114,12,89.47
11,2,3,28,1,96.43,28,1,96.43,34,7,79.41,62,8,87.10
12,2,3,34,4,88.24,34,4,88.24,36,6,83.33,70,10,85.71
13,2,3,35,1,97.14,35,1,97.14,43,9,79.07,78,10,87.18
14,2,3,53,6,88.68,53,6,88.68,55,8,85.45,108,14,87.04
15,2,3,44,6,86.36,44,6,86.36,45,7,84.44,89,13,85.39
16,2,3,39,3,92.31,39,3,92.31,44,8,81.82,83,11,86.75
17,2,4,46,10,78.26,46,10,78.26,48,12,75.00,94,22,76.60
18,2,3,38,4,89.47,38,4,89.47,41,7,82.93,79,11,86.08
19,2,3,20,4,80.00,20,4,80.00,22,6,72.73,42,10,76.19
20,2,3,48,2,95.83,48,2,95.83,57,10,82.46,105,12,88.57
21,2,4,36,3,91.67,36,3,91.67,46,12,73.91,82,15,81.71
22,2,3,23,2,91.30,23,2,91.30,33,12,63.64,56,14,75.00
23,2,5,71,12,83.10,71,12,83.10,72,13,81.94,143,25,82.52
24,2,3,35,6,82.86,35,6,82.86,38,9,76.32,73,15,79.45
25,2,2,30,3,90.00,30,3,90.00,31,4,87.10,61,7,88.52
26,2,2,9,2,77.78,9,2,77.78,12,5,58.33,21,7,66.67
27,2,3,32,4,87.50,32,4,87.50,34,6,82.35,66,10,84.85
28,2,4,56,4,92.86,56,4,92.86,63,11,82.54,119,15,87.39
29,2,2,23,2,91.30,23,2,91.30,26,5,80.77,49,7,85.71
30,2,3,39,5,87.18,39,5,87.18,45,11,75.56,84,16,80.95
31,2,2,18,1,94.44,18,1,94.44,24,7,70.83,42,8,80.95
32,2,4,60,6,90.00,60,6,90.00,70,16,77.14,130,22,83.08
33,2,5,55,10,81.82,55,10,81.82,58,13,77.59,113,23,79.65
34,2,2,39,6,84.62,39,6,84.62,40,7,82.50,79,13,83.54
35,2,3,53,8,84.91,53,8,84.91,54,9,83.33,107,17,84.11
36,2,4,29,5,82.76,29,5,82.76,32,8,75.00,61,13,78.69
37,2,4,63,8,87.30,63,8,87.30,67,12,82.09,130,20,84.62
38,2,2,24,3,87.50,24,3,87.50,26,5,80.77,50,8,84.00
39,2,2,15,2,86.67,15,2,86.67,18,5,72.22,33,7,78.79
40,2,2,21,0,100.00,21,0,100.00,30,9,70.00,51,9,82.35
41,2,3,37,5,86.49,37,5,86.49,42,10,76.19,79,15,81.01
42,2,2,14,1,92.86,14,1,92.86,22,9,59.09,36,10,72.22
43,2,2,18,1,94.44,18,1,94.44,26,9,65.38,44,10,77.27
44,2,3,42,3,92.86,42,3,92.86,45,6,86.67,87,9,89.66
45,2,2,10,0,100.00,10,0,100.00,19,9,52.63,29,9,68.97
