tree_index,height,num_mixers,num_reagents,original_flushing,modified_flushing,flushing_reduction,flushing_reduction_pct,original_loading,modified_loading,loading_change,loading_change_pct,original_time,modified_time,original_placement_flushes,modified_placement_flushes,nodes_scaled,nodes_merged
0,2,3,6,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
1,2,2,4,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,0,0
2,2,3,8,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
3,2,4,12,1,1,0,0.0,4,4,0,0.0,15.2,15.2,1,1,2,0
4,2,3,7,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,1,0
5,2,2,6,1,1,0,0.0,2,2,0,0.0,15.2,15.2,1,1,0,0
6,2,3,6,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,1,0
7,2,2,3,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,1,0
8,2,3,6,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,0,0
9,2,4,10,0,0,0,100.0,4,4,0,0.0,0.0,0.0,0,0,1,0
10,2,3,8,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
11,2,2,5,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,0,0
12,2,4,9,1,0,1,100.0,4,4,0,0.0,15.2,0.0,1,0,1,0
13,2,2,4,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,0,0
14,2,5,13,1,1,0,0.0,5,5,0,0.0,15.2,15.2,1,1,0,0
15,2,3,7,1,1,0,0.0,3,2,-1,-33.33333333333333,15.2,15.2,1,1,1,1
16,2,4,8,1,1,0,0.0,4,4,0,0.0,15.2,15.2,1,1,0,0
17,2,4,8,0,0,0,100.0,4,3,-1,-25.0,0.0,0.0,0,0,0,1
18,2,4,11,1,1,0,0.0,4,4,0,0.0,15.2,15.2,1,1,1,0
19,2,3,8,1,0,1,100.0,3,3,0,0.0,15.2,0.0,1,0,2,0
20,2,3,6,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
21,2,3,4,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,1,0
22,2,2,3,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,0,0
23,2,4,10,0,0,0,100.0,4,4,0,0.0,0.0,0.0,0,0,0,0
24,2,5,13,0,0,0,100.0,5,5,0,0.0,0.0,0.0,0,0,0,0
25,2,4,11,1,1,0,0.0,4,4,0,0.0,15.2,15.2,1,1,1,0
26,2,3,8,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,1,0
27,2,3,4,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
28,2,3,5,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
29,2,5,11,0,0,0,100.0,5,5,0,0.0,0.0,0.0,0,0,0,0
30,2,3,6,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
31,2,3,5,1,0,1,100.0,3,3,0,0.0,15.2,0.0,1,0,1,0
32,2,3,9,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,1,0
33,2,2,5,1,1,0,0.0,2,2,0,0.0,15.2,15.2,1,1,0,0
34,2,3,6,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,1,0
35,2,3,7,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,2,0
36,2,2,5,0,1,-1,0.0,2,2,0,0.0,0.0,15.2,0,1,1,0
37,2,2,3,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,1,0
38,2,3,9,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,1,0
39,2,3,6,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,0,0
40,2,3,6,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,1,0
41,2,2,4,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,0,0
42,2,3,8,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
43,2,2,4,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,0,0
44,2,5,11,0,1,-1,0.0,5,5,0,0.0,0.0,15.2,0,1,2,0
45,2,2,4,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,1,0
46,2,4,7,1,0,1,100.0,4,4,0,0.0,15.2,0.0,1,0,2,0
47,2,2,4,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,1,0
48,2,2,6,1,1,0,0.0,2,2,0,0.0,15.2,15.2,1,1,1,0
49,2,2,3,1,1,0,0.0,2,2,0,0.0,15.2,15.2,1,1,0,0
50,2,4,9,1,1,0,0.0,4,4,0,0.0,15.2,15.2,1,1,1,0
51,2,4,11,1,0,1,100.0,4,4,0,0.0,15.2,0.0,1,0,1,0
52,2,2,4,1,1,0,0.0,2,2,0,0.0,15.2,15.2,1,1,0,0
53,2,3,6,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,1,0
54,2,2,7,0,0,0,100.0,2,2,0,0.0,0.0,0.0,0,0,0,0
55,2,2,3,0,0,0,100.0,2,1,-1,-50.0,0.0,0.0,0,0,1,1
56,2,3,8,0,1,-1,0.0,3,3,0,0.0,0.0,15.2,0,1,1,0
57,2,3,6,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,1,0
58,2,4,10,0,1,-1,0.0,4,4,0,0.0,0.0,15.2,0,1,2,0
59,2,2,4,1,0,1,100.0,2,1,-1,-50.0,15.2,0.0,1,0,2,1
60,2,3,9,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,0,0
61,2,3,9,0,0,0,100.0,3,3,0,0.0,0.0,0.0,0,0,0,0
62,2,3,8,1,1,0,0.0,3,3,0,0.0,15.2,15.2,1,1,1,0
63,2,4,9,1,1,0,0.0,4,4,0,0.0,15.2,15.2,1,1,0,0
